docket_id,engine_off_section_id,engine_off_start,engine_off_end,engine_off_duration_minutes
Cemex--1026230253,428.0,2024-11-22 13:29:57+00:00,2024-11-22 13:34:48+00:00,4.85
Cemex--1026230253,429.0,2024-11-22 13:35:28+00:00,2024-11-22 13:37:19+00:00,1.85
Cemex--1026230360,209.0,2024-11-22 13:58:14+00:00,2024-11-22 14:01:15+00:00,3.0166666666666666
Cemex--1026230382,217.0,2024-11-22 14:01:02+00:00,2024-11-22 14:06:43+00:00,5.683333333333334
Cemex--1026230406,302.0,2024-11-22 13:48:29+00:00,2024-11-22 13:53:09+00:00,4.666666666666667
Cemex--1026230462,459.0,2024-11-22 15:13:41+00:00,2024-11-22 15:13:41+00:00,0.0
Cemex--1026230479,70.0,2024-11-22 14:13:25+00:00,2024-11-22 14:32:08+00:00,18.716666666666665
Cemex--1026230479,71.0,2024-11-22 14:44:10+00:00,2024-11-22 14:53:12+00:00,9.033333333333333
Cemex--1026230479,72.0,2024-11-22 14:54:12+00:00,2024-11-22 15:14:16+00:00,20.066666666666666
Cemex--1026230479,73.0,2024-11-22 15:17:57+00:00,2024-11-22 15:36:21+00:00,18.4
Cemex--1026230881,372.0,2024-11-22 14:56:35+00:00,2024-11-22 15:03:27+00:00,6.866666666666666
Cemex--1026231001,533.0,2024-11-22 14:29:46+00:00,2024-11-22 14:31:26+00:00,1.6666666666666667
Cemex--1026231160,274.0,2024-11-22 14:28:09+00:00,2024-11-22 14:33:11+00:00,5.033333333333333
Cemex--1026231294,253.0,2024-11-22 14:47:43+00:00,2024-11-22 14:59:35+00:00,11.866666666666667
Cemex--1026231386,284.0,2024-11-22 14:16:33+00:00,2024-11-22 14:17:53+00:00,1.3333333333333333
Cemex--1026231390,510.0,2024-11-25 07:11:22+00:00,2024-11-25 08:11:13+00:00,59.85
Cemex--1026231390,511.0,2024-11-25 09:22:25+00:00,2024-11-25 09:22:45+00:00,0.3333333333333333
Cemex--1026231472,500.0,2024-11-22 15:46:10+00:00,2024-11-22 15:54:01+00:00,7.85
Cemex--1026231805,286.0,2024-11-22 15:22:23+00:00,2024-11-22 15:25:14+00:00,2.85
Cemex--1026231805,287.0,2024-11-22 15:52:28+00:00,2024-11-22 15:52:49+00:00,0.35
Cemex--1026231831,343.0,2024-11-22 14:31:48+00:00,2024-11-22 14:36:49+00:00,5.016666666666667
Cemex--1026231871,422.0,2024-11-22 14:19:25+00:00,2024-11-22 14:20:35+00:00,1.1666666666666667
Cemex--1026231954,238.0,2024-11-22 18:01:36+00:00,2024-11-22 19:01:07+00:00,59.516666666666666
Cemex--1026232018,382.0,2024-11-22 14:33:49+00:00,2024-11-22 14:34:00+00:00,0.18333333333333332
Cemex--1026232054,406.0,2024-11-23 11:57:40+00:00,2024-11-23 11:59:00+00:00,1.3333333333333333
Cemex--1026232054,407.0,2024-11-23 12:08:12+00:00,2024-11-23 13:07:53+00:00,59.68333333333333
Cemex--1026232069,466.0,2024-11-22 15:37:47+00:00,2024-11-22 15:43:08+00:00,5.35
Cemex--1026232515,534.0,2024-11-22 16:26:18+00:00,2024-11-22 16:51:03+00:00,24.75
Cemex--1026232583,228.0,2024-11-22 16:34:31+00:00,2024-11-22 16:42:23+00:00,7.866666666666666
Cemex--1026232583,229.0,2024-11-22 16:44:03+00:00,2024-11-22 16:51:24+00:00,7.35
Cemex--1026232970,440.0,2024-11-22 20:38:41+00:00,2024-11-22 20:41:22+00:00,2.683333333333333
Cemex--1026232970,441.0,2024-11-22 21:35:21+00:00,2024-11-22 21:35:21+00:00,0.0
Cemex--1026233325,257.0,2024-11-23 07:41:16+00:00,2024-11-23 08:02:00+00:00,20.733333333333334
Cemex--1026234907,297.0,2024-11-23 16:54:30+00:00,2024-11-23 16:54:50+00:00,0.3333333333333333
Cemex--1026238447,205.0,2024-11-25 08:42:49+00:00,2024-11-25 08:43:09+00:00,0.3333333333333333
Cemex--1026238447,206.0,2024-11-25 08:43:39+00:00,2024-11-25 08:45:39+00:00,2.0
Cemex--1026238491,450.0,2024-11-25 08:09:29+00:00,2024-11-25 08:09:29+00:00,0.0
Cemex--1026238491,451.0,2024-11-25 08:09:39+00:00,2024-11-25 08:09:39+00:00,0.0
Cemex--1026238491,452.0,2024-11-25 08:09:49+00:00,2024-11-25 08:09:49+00:00,0.0
Cemex--1026238491,453.0,2024-11-25 08:09:59+00:00,2024-11-25 08:09:59+00:00,0.0
Cemex--1026238491,454.0,2024-11-25 08:10:09+00:00,2024-11-25 08:10:09+00:00,0.0
Cemex--1026238491,455.0,2024-11-25 08:10:19+00:00,2024-11-25 08:10:19+00:00,0.0
Cemex--1026238491,456.0,2024-11-25 08:10:29+00:00,2024-11-25 08:10:29+00:00,0.0
Cemex--1026238491,457.0,2024-11-25 08:10:39+00:00,2024-11-25 08:10:39+00:00,0.0
Cemex--1026239030,2.0,2024-11-25 07:38:22+00:00,2024-11-25 07:41:33+00:00,3.183333333333333
Cemex--1026239067,377.0,2024-11-25 07:37:45+00:00,2024-11-25 07:38:35+00:00,0.8333333333333334
Cemex--1026239092,298.0,2024-11-25 08:56:52+00:00,2024-11-25 09:06:54+00:00,10.033333333333333
Cemex--1026239092,299.0,2024-11-25 09:34:29+00:00,2024-11-25 09:42:10+00:00,7.683333333333334
Cemex--1026239092,300.0,2024-11-25 09:43:21+00:00,2024-11-25 10:11:46+00:00,28.416666666666668
Cemex--1026239217,485.0,2024-11-25 08:54:15+00:00,2024-11-25 08:54:25+00:00,0.16666666666666666
Cemex--1026239217,486.0,2024-11-25 08:57:25+00:00,2024-11-25 08:58:25+00:00,1.0
Cemex--1026239217,487.0,2024-11-25 08:59:36+00:00,2024-11-25 09:01:06+00:00,1.5
