@timestamp,docket_id,docket_rmc,truck_registration,docket_plant_code,docket_datetime_batch_utc,volume_delivered,docket_jobsite_description,detail_docket_consistence_class,detail_docket_consistence_class_min,detail_docket_consistence_class_max,detail_docket_consistence_target,detail_docket_consistence_lower_limit_composite,detail_docket_consistence_upper_limit_composite
2025-01-20 16:13:18.000,London-Concrete--41230138,London-Concrete,KT15AAZ,HNL,2025-01-20T15:09:50.712Z,4,CHURCH STREET - EN2,S3,100,150,0,90,160
2025-01-20 16:29:20.000,London-Concrete--41230223,London-Concrete,WU18FLE,BWL,2025-01-20T16:29:07.856Z,7.5,"1 NORTH QUAY, ASPEN WAY",S3,100,150,0,90,160
2025-01-20 16:29:22.000,London-Concrete--41230202,London-Concrete,KX16FOK,BWL,2025-01-20T16:08:00.000Z,7.5,"1 NORTH QUAY, ASPEN WAY",S4,160,210,0,150,220
2025-01-21 07:12:20.000,London-Concrete--41230322,London-Concrete,RX18HLD,OCO,2025-01-21T07:11:47.816Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 07:16:19.000,London-Concrete--41230335,London-Concrete,RX68YCV,OCO,2025-01-21T07:15:59.684Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 07:19:19.000,London-Concrete--41230138,London-Concrete,KT15AAZ,HNL,2025-01-21T15:11:00.000Z,4,CHURCH STREET - EN2,S3,100,150,0,90,160
2025-01-21 07:36:19.000,London-Concrete--41230335,London-Concrete,RX68YCV,OCO,2025-01-21T07:25:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 07:36:21.000,London-Concrete--41230322,London-Concrete,RX18HLD,OCO,2025-01-21T07:19:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 07:36:22.000,London-Concrete--41230223,London-Concrete,WU18FLE,BWL,2025-01-21T16:39:00.000Z,7.5,"1 NORTH QUAY, ASPEN WAY",S3,100,150,0,90,160
2025-01-21 07:37:20.000,London-Concrete--41230411,London-Concrete,EK19VBC,BWL,2025-01-21T07:37:10.513Z,7.5,CHOBHAM FARM- E15,S1,10,40,0,0,50
2025-01-21 07:41:19.000,London-Concrete--41230423,London-Concrete,RE67BVT,HNL,2025-01-21T07:40:46.442Z,5,2 HUNGERFORD ROAD-ISLINGTON,S3,100,150,0,90,160
2025-01-21 07:52:19.000,London-Concrete--41230455,London-Concrete,RV69HCC,BWL,2025-01-21T07:52:17.152Z,7.5,CHOBHAM FARM- E15,S1,10,40,0,0,50
2025-01-21 07:54:19.000,London-Concrete--41230423,London-Concrete,RE67BVT,HNL,2025-01-21T07:42:00.000Z,5,2 HUNGERFORD ROAD-ISLINGTON,S3,100,150,0,90,160
2025-01-21 08:03:21.000,London-Concrete--41230481,London-Concrete,RX18HLD,OCO,2025-01-21T08:03:10.517Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 08:11:19.000,London-Concrete--41230501,London-Concrete,RX68YCV,OCO,2025-01-21T08:11:08.961Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 08:18:20.000,London-Concrete--41230521,London-Concrete,EK19VBB,BWL,2025-01-21T08:18:17.791Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-21 08:19:19.000,London-Concrete--41230411,London-Concrete,EK19VBC,BWL,2025-01-21T07:56:00.000Z,7.5,CHOBHAM FARM- E15,S1,10,40,0,0,50
2025-01-21 08:21:18.000,London-Concrete--41230529,London-Concrete,WU72CME,BWL,2025-01-21T08:20:24.763Z,7.5,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-21 08:21:21.000,London-Concrete--41230481,London-Concrete,RX18HLD,OCO,2025-01-21T08:08:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 08:31:18.000,London-Concrete--41230501,London-Concrete,RX68YCV,OCO,2025-01-21T08:15:00.000Z,8,OLD OAK COMMON LANE - NORTH ACTON,F6,,,640,590,690
2025-01-21 08:46:19.000,London-Concrete--41230601,London-Concrete,RX68YCV,OCO,2025-01-21T08:45:37.205Z,8,WP17 OLD OAK COMMON LANE - NORTH ACTON,S4,160,210,0,150,220
